ID,Title,Icon name,Menu to display on,Description,Initial State,Tier,Price in Points,Price in Gems,Type,Column,Row
activity_achievement,Achievements,activity_achievement,run,View your achievements and overall progress,Locked,2,5000,3,N/A,0,2
activity_autopause,Auto-Pause,activity_autopause,run,Pauses the game when you stop for a traffic light,Locked,2,4000,2,N/A,-5,4
activity_banana,Banana skin x10,activity_banana,run,Throw banana skins in front of your opponents to slow them down. Requires real-time challenge.,Locked,2,5000,3,N/A,7,0
activity_barclays,Barclays bike,activity_barclays,cycle,Set a record on a London Boris Bike,Locked,2,5000,3,N/A,1,4
activity_batman_skin,Batman skin for your avatar,activity_batman_skin,run,Now you can be Batman when playing with friends.,Locked,2,5000,3,N/A,7,3
activity_bet,Bet a friend,share,run,Want to challenge your friend? Make a bet with them with points,Locked,1,5000,4,N/A,3,0
activity_bike,Cycle mode,activity_bike,run,Switch to cycle mode,Locked,1,1000,1,N/A,,
activity_bike,Race Yourself,activity_bike,cycle,Cycle against your own avatar for points,Unlocked,0,0,0,Race,0,-1
activity_bike_level2,Race Yourself level 2,activity_bike_level2,cycle,See your average and best pace avatars at the same time,Locked,1,10000,5,N/A,0,-2
activity_bike_level3,Race Yourself level 3,activity_bike_level3,cycle,See a range of avatars coving all your past performance,Locked,2,100000,20,N/A,0,-3
activity_bleep,Bleep test,activity_bleep,run,50m sprints at increasing pace,Locked,2,5000,3,N/A,-1,3
activity_bolt_level1,Beat Bolt,activity_bolt_level1,run,100m sprint vs. Usain Bolt. How close can you get?,Locked,2,5000,3,N/A,3,-1
activity_bolt_level2,Beat Bolt,activity_bolt_level2,run,200m sprint vs. Usain Bolt. How close can you get?,Locked,3,5000,3,N/A,4,-2
activity_boulder,Boulder Dash,activity_boulder,run,Relive that classic moment in Indiana Jones - run from the boulder! No treasure this time though.,Locked,1,1000,1,Pursuit,-1,0
activity_boulder_level2,Boulder Dash level 2,activity_boulder_level2,run,This time the boulders accelerate faster. Think you can handle it?,Locked,2,5000,5,N/A,-1,-1
activity_boulder_level3,Boulder Dash level 3,activity_boulder_level3,run,The boulder is incredibly fast. Try to survive as long as possible,Locked,3,20000,15,N/A,-1,-2
activity_boulder_level4,Boulder Dash level 4,activity_boulder_level4,run,Indiana Jones can't outrun this. Can you?,Locked,4,50000,40,N/A,-1,-3
activity_bradley_wiggins,Bradley Wiggins,activity_bradley_wiggins,cycle,See how you compare to Bradley Wiggins on his best Olympic run!,Locked,3,5000,3,Celeb,1,-1
activity_burn_10,Burn 10% Extra,activity_burn_10,run,Add a 10% increase to your metabolism,Locked,3,5000,3,N/A,4,0
activity_burn_20,Burn 20% Extra,activity_burn_20,run,Add a 20% increase to your metabolism,Locked,3,5000,3,N/A,5,0
activity_burn_30,Burn 30% Extra,activity_burn_30,run,Add a 30% increase to your metabolism,Locked,3,5000,3,N/A,6,-1
activity_camera,Camera Setting,camera,run,Toggle the AR Camera on/off,Unlocked,1,0,0,Mode,-7,2
