LI,LO,LH,RI,RO,RH
225,86,160,390,354,275
228,97,161,384,353,227
230,106,163,362,326,201
228,112,166,316,270,197
227,122,166,290,270,187
236,132,165,271,266,169
236,135,168,263,256,157
279,173,151,253,217,146
358,259,177,251,92,143
384,341,288,219,85,151
391,347,280,225,86,160
393,338,228,228,97,161
386,305,202,230,106,163
351,263,205,228,112,166
323,271,206,227,122,166
303,277,179,236,132,165
277,249,160,236,135,168
267,188,149,279,173,151
277,87,149,358,259,177
247,86,151,384,341,288
238,84,159,391,347,280
235,88,166,393,338,228
237,96,168,386,305,202
231,105,169,351,263,205
222,114,168,323,271,206
234,125,163,303,277,179
236,119,167,277,249,160
330,192,149,267,188,149
363,289,210,277,87,149
385,345,274,247,86,151
392,356,264,238,84,159
387,350,225,235,88,166
375,322,215,237,96,168
332,279,214,231,105,169
311,290,203,222,114,168
283,279,177,234,125,163
266,236,156,236,119,167
262,167,143,330,192,149
244,88,146,363,289,210
227,87,152,385,345,274
233,89,159,392,356,264
236,99,163,387,350,225
238,106,165,375,322,215
235,114,168,332,279,214
233,120,167,311,290,203
236,125,162,283,279,177
233,117,166,266,236,156
315,185,154,262,167,143
362,294,240,244,88,146
380,348,281,227,87,152
384,352,252,233,89,159
376,345,217,236,99,163
358,318,205,238,106,165
324,273,206,235,114,168
303,267,205,233,120,167
288,278,193,236,125,162
275,274,174,233,117,166
266,266,161,315,185,154
259,197,147,362,294,240
267,90,147,380,348,281
251,86,156,384,352,252
248,85,163,376,345,217
241,96,166,358,318,205
237,108,167,324,273,206
230,116,168,303,267,205
235,132,162,288,278,193
238,143,158,275,274,174
236,146,155,266,266,161
332,204,171,259,197,147
376,322,264,267,90,147
383,354,275,251,86,156
384,350,238,248,85,163
377,335,223,241,96,166
346,301,222,237,108,167
312,284,221,230,116,168
296,298,209,235,132,162
275,282,179,238,143,158
262,250,159,236,146,155
261,183,146,332,204,171
262,89,148,376,322,264
242,87,158,383,354,275
242,85,161,384,350,238
238,94,164,377,335,223
238,107,165,346,301,222
231,115,168,312,284,221
222,126,167,296,298,209
231,131,164,275,282,179
237,127,171,262,250,159
239,130,165,261,183,146
339,214,175,262,89,148
385,342,259,242,87,158
395,362,277,242,85,161
398,354,251,238,94,164
392,326,231,238,107,165
358,285,227,231,115,168
332,291,222,222,126,167
313,281,182,231,131,164
281,209,156,237,127,171
280,95,145,239,130,165
256,85,146,339,214,175
240,86,152,385,342,259
233,91,161,395,362,277
240,99,167,398,354,251
244,110,170,392,326,231
241,118,171,358,285,227
235,124,172,332,291,222
238,130,168,313,281,182
244,137,166,281,209,156
248,138,164,280,95,145
342,196,152,256,85,146
391,319,226,240,86,152
398,367,284,233,91,161
400,366,260,240,99,167
391,350,211,244,110,170
369,307,203,241,118,171
326,268,200,235,124,172
309,275,189,238,130,168
284,257,167,244,137,166
272,233,153,248,138,164
267,171,144,342,196,152
275,88,150,391,319,226
254,86,156,398,367,284
249,86,164,400,366,260
249,96,168,391,350,211
